old_id	new_id	new_id.scientific_name
NCBI:txid1007580	NCBI:txid943874	Bradyrhizobium sp. R-46224
NCBI:txid1007581	NCBI:txid945857	Bradyrhizobium sp. R-46304=t779
NCBI:txid1007582	NCBI:txid945858	Bradyrhizobium sp. R-46306=t782
NCBI:txid1007583	NCBI:txid945859	Bradyrhizobium sp. R-46310=t789
NCBI:txid1007584	NCBI:txid945860	Bradyrhizobium sp. R-46311=t792
NCBI:txid1007585	NCBI:txid945861	Bradyrhizobium sp. R-46313=t795
NCBI:txid1007586	NCBI:txid943881	Bradyrhizobium sp. R-45657
NCBI:txid1007587	NCBI:txid946083	Mesorhizobium sp. R-45817
NCBI:txid1007588	NCBI:txid943887	Bradyrhizobium sp. R-45821
NCBI:txid1007589	NCBI:txid945865	Mesorhizobium sp. R-45834
NCBI:txid1007590	NCBI:txid946084	Mesorhizobium sp. R-45843
NCBI:txid1007591	NCBI:txid946085	Mesorhizobium sp. R-45863
NCBI:txid1007592	NCBI:txid946086	Mesorhizobium sp. R-45975
NCBI:txid1007593	NCBI:txid946087	Mesorhizobium sp. R-45976
NCBI:txid1007594	NCBI:txid946088	Mesorhizobium sp. R-46321
NCBI:txid1007595	NCBI:txid943892	Bradyrhizobium sp. R-45547
NCBI:txid1007596	NCBI:txid945864	Mesorhizobium sp. R-45768
NCBI:txid1007597	NCBI:txid946089	Mesorhizobium sp. R-46328
NCBI:txid1007600	NCBI:txid943842	Bradyrhizobium sp. R-45574
NCBI:txid1007603	NCBI:txid943880	Bradyrhizobium sp. R-45555
NCBI:txid1007641	NCBI:txid193346	Stachys germanica subsp. tymphaea
NCBI:txid100765	NCBI:txid281362	Dechloromonas denitrificans
NCBI:txid1007707	NCBI:txid1007343	Abraxas grossulariatus
NCBI:txid100772	NCBI:txid102318	Flexopecten glaber
NCBI:txid100773	NCBI:txid50417	Mimachlamys varia
NCBI:txid1007874	NCBI:txid296872	Adinandra lasiostyla
NCBI:txid1007876	NCBI:txid182329	Adinandra millettii
NCBI:txid10079	NCBI:txid241142	Abrothrix jelskii
NCBI:txid1007904	NCBI:txid908473	Starmerella jinningensis
NCBI:txid1007905	NCBI:txid908473	Starmerella jinningensis
NCBI:txid1007906	NCBI:txid908473	Starmerella jinningensis
NCBI:txid1007907	NCBI:txid908473	Starmerella jinningensis
NCBI:txid1007916	NCBI:txid1610688	Spiniferodinium palauense
NCBI:txid100793	NCBI:txid87466	Helictochloa bromoides
NCBI:txid1007954	NCBI:txid1008985	Gateway vector pUGW0
NCBI:txid1008150	NCBI:txid1008153	Halalkalicoccus paucihalophilus
NCBI:txid100818	NCBI:txid201439	Zamenis longissimus
NCBI:txid1008257	NCBI:txid863577	Exophiala equina
NCBI:txid1008295	NCBI:txid913324	gamma proteobacterium SCGC AAA001-B15
NCBI:txid1008296	NCBI:txid913327	gamma proteobacterium SCGC AAA007-O20
NCBI:txid100831	NCBI:txid129775	Influenza A virus (A/Aquatic bird/Hong Kong/M603/98(H11N1))
NCBI:txid100832	NCBI:txid380923	Influenza A virus (A/chicken/Hidalgo/26654-1368/1994(H5N2))
NCBI:txid1008362	NCBI:txid208706	Cheiroglossa palmata
NCBI:txid1008371	NCBI:txid912594	Mycolicibacterium iranicum
NCBI:txid1008391	NCBI:txid1313304	Chitinivibrio alkaliphilus ACht1
NCBI:txid100842	NCBI:txid380922	Influenza A virus (A/chicken/Mexico/26654-1374/1994(H5N2))
NCBI:txid1008423	NCBI:txid173289	Stigmatogaster subterranea
NCBI:txid1008440	NCBI:txid427944	Lomatium foeniculaceum subsp. macdougalii
NCBI:txid100845	NCBI:txid380916	Influenza A virus (A/chicken/Puebla/14585-622/1994(H5N2))
NCBI:txid100846	NCBI:txid380917	Influenza A virus (A/chicken/Puebla/8623-607/1994(H5N2))
NCBI:txid100847	NCBI:txid380913	Influenza A virus (A/chicken/Queretaro/14588-19/1994(H5N2))
NCBI:txid100848	NCBI:txid402528	Influenza A virus (A/chicken/Queretaro/14588-19/1995(H5N2))
NCBI:txid100849	NCBI:txid442535	Influenza A virus (A/duck/Hong Kong/698/1979(H5N3))
NCBI:txid100869	NCBI:txid4783	Phytophthora
